,quality,article_length,num_wikilinks,num_external_links,num_images,info_noise,num_refs,num_headings
Taifals,4.0,1406,228,12,5,0.33499288762446655,42,8
Battle of Phase Line Bullet,4.0,773,149,7,3,0.4023285899094437,16,7
Libya,4.0,8372,1441,219,47,0.2591973244147157,207,30
Battle of Oak Grove,4.0,871,96,4,2,0.36624569460390355,8,7
The Submission of Prince Dipo Negoro to General De Kock,4.0,609,73,9,2,0.37766830870279144,8,5
Mississippi Highway 69,4.0,433,100,22,1,0.3233256351039261,18,5
Confiteor,4.0,1376,471,13,3,0.2616279069767442,9,10
Aprepitant,4.0,2030,843,51,3,0.30049261083743845,21,12
Princes Risborough,4.0,5754,490,12,17,0.2292318387208898,53,22
1 SS Infantry Brigade,4.0,1897,282,6,3,0.30047443331576174,9,12
Georgia O'Keeffe,4.0,3489,591,54,11,0.295213528231585,39,14
Euoplocephalus,4.0,3849,320,25,17,0.25071447129124447,34,17
Gilman School,4.0,1115,331,119,4,0.3820627802690583,69,13
United States Navy Band,4.0,1684,357,9,12,0.33788598574821854,5,22
Parakramabahu I,4.0,5868,394,13,12,0.2339809134287662,83,28
Historical buildings and structures of Grand Teton National Park,4.0,3345,353,57,9,0.2591928251121076,51,14
Coventry Airport,4.0,1153,385,42,6,0.3599306157849089,34,14
Hard Knott,4.0,712,199,4,3,0.34129213483146065,5,6
Federal Reserve Note,4.0,3013,377,54,75,0.2621971457019582,44,22
Nevada State Route 705,4.0,401,65,10,3,0.3491271820448878,8,8
Broadfin sawtail catshark,4.0,955,273,2,1,0.37591623036649213,6,7
Kapiti Line,4.0,1093,251,20,32,0.32479414455626715,20,8
Drake Well,4.0,1300,266,14,7,0.34,20,10
2000–01 Bangladeshi cricket season,4.0,208,183,16,0,0.3701923076923077,5,14
List of Presidents of Cuba,4.0,17,105,4,26,0.47058823529411764,0,2
United Nations Conference on Trade and Development,4.0,1398,486,41,6,0.32975679542203146,26,16
Brian Gubby,4.0,635,112,4,1,0.4220472440944882,6,8
Second Thirty Years' War,4.0,2726,313,20,1,0.2736610418195158,1,12
Zalman Shapiro,4.0,744,132,14,0,0.41397849462365593,21,7
Internet protocol suite,4.0,4042,347,42,7,0.20089064819396338,29,18
Orson Pratt,4.0,1670,504,34,9,0.3281437125748503,17,14
Electronic Delay Storage Automatic Calculator,4.0,1252,146,23,4,0.34185303514376997,15,13
Mardi Gras in the United States,4.0,6448,718,91,21,0.23883374689826303,90,46
Dinitrogen tetroxide,4.0,901,333,21,6,0.3607103218645949,8,11
Wall Street bombing,4.0,1472,147,17,3,0.37703804347826086,23,7
Al Hussein (missile),4.0,1152,141,13,4,0.3932291666666667,20,8
Greco-Buddhism,4.0,4671,917,24,18,0.25990152001712696,50,30
Tikkurilan Tiikerit,4.0,75,75,7,4,0.4666666666666667,1,6
Robert Sidaway,4.0,921,85,11,3,0.39087947882736157,15,7
Altirhinus,4.0,941,94,0,3,0.3804463336875664,1,10
Alden John Bell,4.0,1148,366,30,5,0.40156794425087106,23,12
Pennsylvania Route 41,4.0,1113,151,24,6,0.19227313566936208,19,7
History of optics,4.0,4081,411,26,4,0.2582700318549375,35,12
Kitos War,4.0,1745,138,12,1,0.3174785100286533,10,12
College of the Holy Cross,4.0,5698,976,92,12,0.2621972621972622,72,26
Road signs in the United Kingdom,4.0,4205,411,33,36,0.22758620689655173,25,26
Superior mesenteric artery syndrome,4.0,1756,575,45,6,0.35990888382687924,36,9
Nepenthes edwardsiana,4.0,3572,573,46,16,0.32642777155655095,50,16
Redheugh Bridge,4.0,577,48,6,2,0.42114384748700173,1,7
History of Falun Gong,4.0,1127,430,56,9,0.34782608695652173,101,11
Alfred Rosenheim,4.0,890,65,2,6,0.38202247191011235,12,6
Valentinian III,4.0,2848,489,19,2,0.30582865168539325,54,14
Audio Home Recording Act,4.0,2816,135,31,1,0.21697443181818182,24,14
Church of Nigeria,4.0,1211,151,16,4,0.32452518579686207,12,8
Nírnaeth Arnoediad,4.0,2456,180,1,2,0.2736156351791531,20,10
Jay Z,4.0,6828,1145,181,10,0.24956063268892795,175,30
Abner Louima,4.0,1348,149,52,5,0.3486646884272997,26,8
Dennis the Menace and Gnasher,4.0,7115,421,18,5,0.20351370344342937,15,26
Miroslav Kraljević,4.0,946,116,20,2,0.3678646934460888,16,9
"St Philip's Cathedral, Birmingham",4.0,1326,454,26,7,0.3552036199095023,13,15
Calas (food),4.0,411,85,11,1,0.45742092457420924,2,6
Logistic map,4.0,1532,188,30,5,0.26240208877284593,12,9
"Long Valley, New Jersey",4.0,711,205,24,2,0.3263009845288326,16,9
"Hasbrouck Heights, New Jersey",4.0,2254,610,133,5,0.3305235137533274,121,18
Caliphal Civil War (865–866),4.0,5825,297,3,3,0.18248927038626608,80,15
Rohingya language,4.0,2110,353,18,1,0.2985781990521327,9,22
Controversy of The MDNA Tour,4.0,2671,290,58,5,0.28378884312991387,43,9
Thomas Z. Morrow,4.0,913,163,9,2,0.37677984665936476,21,8
Jehovah's Witnesses and governments,4.0,1570,185,28,1,0.3146496815286624,30,14
2006 in comics,4.0,13,1358,545,1,0.6153846153846154,8,18
Illuminate Light & Laser Spectacular,4.0,273,157,35,3,0.4468864468864469,21,8
Florin Salam,4.0,878,102,15,0,0.4191343963553531,11,7
Liu Ye (Tang dynasty),4.0,1072,94,12,0,0.3358208955223881,9,6
Troll,4.0,1104,270,9,4,0.33967391304347827,15,8
"St Cyprian's Church, Hay Mills",4.0,2735,292,31,22,0.3279707495429616,37,20
Missions of Love,4.0,813,108,17,3,0.33579335793357934,13,9
Mohamed Bayram II,4.0,218,34,0,2,0.45871559633027525,4,3
Greek fire,4.0,3577,655,23,6,0.2776069331842326,91,20
Kalov (Hasidic dynasty),4.0,594,239,11,1,0.4090909090909091,2,6
Dee Dee Ramone,4.0,2474,262,32,4,0.2837510105092967,19,11
Rick Link,4.0,2837,386,56,0,0.31018681706027496,63,13
Windover Archeological Site,4.0,1349,344,15,4,0.3535952557449963,23,10
Archlute,4.0,529,58,3,2,0.3629489603024575,0,6
Secret (Madonna song),4.0,2651,484,76,4,0.28479818936250473,81,15
Lorentz ether theory,4.0,5743,312,78,3,0.16942364617795577,30,25
Evangelist portrait,4.0,1301,99,0,21,0.2897770945426595,1,8
2001–02 VB Series,4.0,727,368,21,0,0.3535075653370014,6,22
Constantine VII,4.0,1470,398,18,6,0.36802721088435375,10,8
Cyrus the Great in the Bible,4.0,1477,110,23,3,0.3067027758970887,13,6
Super Bowl XLII,4.0,8566,1296,91,8,0.21340182115339715,80,36
Hale School,4.0,1846,203,31,14,0.30335861321776814,4,18
Bảo Đại,4.0,1617,224,36,19,0.3438466295609153,9,15
"Shaniko, Oregon",4.0,858,208,25,2,0.3986013986013986,16,8
Sallie-Anne Huckstepp,4.0,1208,60,9,0,0.32781456953642385,8,6
Commentary on Palestine: Peace Not Apartheid,4.0,5440,483,84,1,0.2571691176470588,71,14
Tricky (musician),4.0,2364,377,58,3,0.32318104906937395,52,17
2nd Canadian Infantry Division,4.0,3597,425,19,6,0.266333055323881,78,18
Lend-Lease,4.0,3089,783,55,7,0.2975072839106507,48,15
Trần Nghệ Tông,4.0,1589,210,7,1,0.26557583385777217,27,9
Blue Bulls,4.0,5175,367,15,5,0.20367149758454106,7,20
Autoimmunity,4.0,2347,416,81,0,0.31529612270984236,32,15
Bethel Airport,4.0,306,187,24,7,0.5032679738562091,8,9
Ligand cone angle,4.0,320,64,10,1,0.38125,7,7
Epermenioidea,4.0,455,323,30,2,0.44395604395604393,0,10
Battle of Málaga (1937),4.0,847,263,6,1,0.38961038961038963,35,13
Weebl and Bob,4.0,1805,161,8,0,0.32797783933518004,1,16
India–Israel relations,4.0,3778,819,136,8,0.3033350979354156,125,16
New Covenant,4.0,2675,296,60,5,0.2085981308411215,23,11
"Nigerian general election, 2007",4.0,1754,328,42,7,0.31755986316989737,37,14
Ding Feng (elder),4.0,1441,493,2,1,0.33448993754337264,19,11
Market Street (Philadelphia),4.0,867,281,7,8,0.3344867358708189,3,8
Joe Doherty,4.0,1166,406,16,0,0.3481989708404803,21,5
Golden age hip hop,4.0,1500,389,26,0,0.37133333333333335,31,8
2009 Boise State Broncos football team,4.0,5391,384,67,19,0.17269523279539975,39,46
Glass production,4.0,2771,349,19,7,0.2659689642728257,8,24
Heart,4.0,8953,1025,85,34,0.18273204512453925,67,42
Nina Shatskaya,4.0,2427,171,45,3,0.34569427276473014,36,8
Bly Ranger Station,4.0,785,138,13,2,0.3095541401273885,10,6
Bastard feudalism,4.0,712,53,5,2,0.39185393258426965,3,6
Portella della Ginestra massacre,4.0,2116,190,20,6,0.31568998109640833,18,13
Sexxx Dreams,4.0,1215,210,35,3,0.38353909465020575,27,9
Gene Taylor (Mississippi politician),4.0,1822,219,32,5,0.34577387486278816,27,17
Mother's Helper (Chalfant),4.0,681,125,14,2,0.39941262848751835,9,9
Odyssey 5,4.0,904,193,8,1,0.377212389380531,3,8
Major histocompatibility complex,4.0,3267,578,67,8,0.256198347107438,30,22
Fortifications of Birgu,4.0,624,115,31,4,0.3525641025641026,28,6
American Friends Service Committee,4.0,1624,406,47,4,0.35283251231527096,22,12
Medal for Noble Deeds,4.0,72,18,4,1,0.4722222222222222,2,3
Immigration history of Australia,4.0,2833,364,25,8,0.2950935404165196,21,17
BRP Ramon Alcaraz (PF-16),4.0,849,235,35,4,0.4016489988221437,30,11
"51st Battalion, Far North Queensland Regiment",4.0,1530,246,17,5,0.3215686274509804,5,12
Viperidae,4.0,1146,167,15,3,0.33507853403141363,9,12
Falkland Islands sovereignty dispute,4.0,6157,823,108,15,0.2163391261978236,1,20
Charles Lee (Australian politician),4.0,950,74,4,1,0.38,4,3
Suzann Pettersen,4.0,1165,428,53,1,0.311587982832618,39,32
Hokulea,4.0,4324,1380,187,12,0.303422756706753,125,90
Beinn a' Chaorainn (Glen Spean),4.0,749,85,9,4,0.33511348464619495,8,6
Seizure types,4.0,901,186,17,0,0.33962264150943394,6,9
JSON,4.0,2688,298,66,1,0.26004464285714285,1,27
Ohio State Route 208,4.0,444,76,12,3,0.2725225225225225,11,6
Traian Brăileanu,4.0,4203,529,11,2,0.3147751605995717,126,11
Stockholm,4.0,6445,1674,113,60,0.2659425911559348,1,43
2nd Division (German Empire),4.0,471,348,4,0,0.3227176220806794,11,7
Texas State Highway 58,4.0,344,82,14,3,0.34011627906976744,9,5
"Franklin, New Jersey",4.0,2014,467,94,2,0.323733862959285,85,18
Luis Castillo (baseball),4.0,1632,272,22,3,0.2818627450980392,11,16
Frankie Howerd,4.0,1666,211,20,3,0.38535414165666265,17,18
Disneyland Paris,4.0,3568,593,66,7,0.3001681614349776,40,24
Yanni,4.0,4097,634,197,7,0.30144007810593115,75,22
Oklahoma State Highway 44,4.0,872,117,13,4,0.2706422018348624,9,7
Construction of the Cheyenne Mountain Complex,4.0,1111,174,32,2,0.36993699369936994,5,8
Stockwell Day,4.0,2873,378,52,5,0.309780717020536,35,13
Lithuanian rock,4.0,2062,248,21,1,0.3506304558680892,1,17
Kawasaki disease,4.0,3603,793,288,4,0.27921176797113517,135,14
The Yeomen of the Guard,4.0,4146,353,46,14,0.2597684515195369,52,16
Sprouts of the Mohawk River,4.0,868,476,18,5,0.31336405529953915,16,7
2010 FINA Swimming World Cup,4.0,175,261,14,0,0.38857142857142857,5,27
Huntington Beach Oil Field,4.0,287,76,11,2,0.4250871080139373,9,1
Bertrand's ballot theorem,4.0,1294,50,5,1,0.1831530139103555,4,10
Recurrence quantification analysis,4.0,1007,51,15,2,0.22442899702085403,0,8
Seth Material,4.0,1326,413,9,0,0.3438914027149321,33,11
Wembley Stadium,4.0,5128,1432,124,23,0.2359594383775351,104,23
Sunbeam Arab,4.0,277,105,3,1,0.5126353790613718,1,12
CMLL World Lightweight Championship,4.0,866,170,15,1,0.2979214780600462,4,5
Days of Our Lives,4.0,6308,887,123,5,0.24143944197844008,113,21
Canadian Charter of Rights and Freedoms,4.0,4794,568,20,9,0.20212765957446807,43,20
"St Philip's Church, Hove",4.0,1009,361,13,9,0.39345887016848363,22,8
Michael Waltrip Racing,4.0,5879,464,50,22,0.18302432386460282,46,25
Millard House,4.0,908,393,13,6,0.3898678414096916,11,8
High definition optical disc format war,4.0,2418,348,91,0,0.3110008271298594,77,11
1979 Cricket World Cup,4.0,739,213,22,7,0.34100135317997293,1,14
Giant Bible of Mainz,4.0,686,70,3,2,0.33819241982507287,12,7
Indian nationalism,4.0,1692,587,16,9,0.35756501182033096,13,13
Pirbright,4.0,1117,301,17,7,0.40017905102954343,12,19
Stourport Ring,4.0,325,76,126,4,0.40307692307692305,0,6
Frederick C. Billard,4.0,3032,219,6,6,0.2843007915567282,2,13
James Henry Carpenter,4.0,2298,191,37,16,0.32854656222802436,21,11
A74(M) and M74 motorways,4.0,1513,282,45,15,0.2663582286847323,13,18
RAF Andover,4.0,3406,636,18,22,0.2533763945977686,4,15
Alkborough,4.0,2437,356,29,19,0.32745178498153465,21,29
Gerry Anderson,4.0,5059,330,39,5,0.25756078276339195,29,19
Battle of Trevilian Station,4.0,2650,188,11,10,0.25207547169811323,24,14
Sarasvati River,4.0,3562,631,34,7,0.2549129702414374,7,25
Malbars,4.0,444,291,17,1,0.38288288288288286,10,11
Essential matrix,4.0,1856,49,5,0,0.14870689655172414,0,12
Chymotrypsin,4.0,671,210,62,2,0.3502235469448584,5,8
Juliette Binoche,4.0,6829,1208,176,10,0.2609459657343681,169,17
36th Reserve Division (German Empire),4.0,218,292,3,0,0.37155963302752293,4,6
Nucleus accumbens,4.0,2133,458,120,4,0.2559774964838256,43,18
Fritz Busch,4.0,675,168,29,1,0.43851851851851853,14,7
Artemis,4.0,4297,726,50,19,0.2646032115429369,68,31
Illyrian languages,4.0,2145,521,57,1,0.2699300699300699,151,24
Objectivist poets,4.0,3562,236,15,0,0.26951151038742277,4,13
Cava de' Tirreni,4.0,1403,318,14,7,0.4012829650748396,0,18
Michigan v. Jackson,4.0,1292,128,19,1,0.2708978328173375,23,11
Metal Gear Solid 4: Guns of the Patriots,4.0,5680,539,109,3,0.26654929577464787,100,20
"George Bingham, 3rd Earl of Lucan",4.0,867,171,29,5,0.3644752018454441,23,9
German weather ship WBS 6 Kehdingen,4.0,294,46,10,8,0.4489795918367347,9,3
Barony of Bonshaw,4.0,951,85,7,17,0.4153522607781283,11,9
Vaginitis,4.0,1147,461,59,1,0.33740191804707936,21,13
Cannabis (drug),4.0,5469,1846,257,20,0.2759188151398793,199,43
Internationale Musische Werkstatt,4.0,1195,86,12,2,0.30209205020920504,0,21
Amecameca,4.0,4033,321,19,11,0.2816761715844285,20,8
Type 052C destroyer,4.0,3429,529,14,2,0.23009623797025372,8,18
"Kingswood, Surrey",4.0,2733,379,40,8,0.30698865715331136,2,34
Source Four,4.0,1614,96,12,3,0.2812887236679058,14,11
Texas State Highway Loop 111,4.0,271,101,4,2,0.36531365313653136,3,5
Jarvis Hospital,4.0,655,160,10,5,0.39083969465648855,9,7
Elections in the Philippines,4.0,2866,1065,15,4,0.183182135380321,1,36
Miguel Angel Galluzzi,4.0,1847,355,30,8,0.3638332430969139,46,7
Herodium,4.0,1467,232,27,8,0.3183367416496251,23,18
Nora Ephron,4.0,1142,268,46,1,0.404553415061296,21,14
Coeur d'Alene War,4.0,1478,138,5,1,0.27604871447902574,25,12
Peyote,4.0,2195,300,41,17,0.3339407744874715,43,18
Radio Television of Serbia,4.0,3472,541,37,1,0.2569124423963134,27,31
Convoys in World War I,4.0,2734,259,2,2,0.2900512070226774,1,11
1737 English cricket season,4.0,561,250,6,0,0.38146167557932265,5,7
Georgetown University Law Center,4.0,2297,949,47,9,0.3104048759251197,39,33
1994 Karamay fire,4.0,578,54,5,0,0.4290657439446367,4,8
Siegfried Sassoon,4.0,3200,317,66,8,0.333125,37,16
Paper money of the Hungarian pengő,4.0,1187,96,4,110,0.22577927548441448,3,10
Panspermia,4.0,4530,1228,266,8,0.2792494481236203,171,25
Tom Thibodeau,4.0,1118,276,31,5,0.3184257602862254,26,11
Prohibition,4.0,3763,499,37,4,0.26787137921870846,39,35
Hausdorff dimension,4.0,1887,170,18,4,0.2363540010598834,10,17
House dust mite,4.0,430,131,12,4,0.4372093023255814,9,8
1929 Bahamas hurricane,4.0,1032,113,19,4,0.33042635658914726,14,11
Undercover Mosque,4.0,1528,147,48,1,0.28272251308900526,26,11
Oregon Hospital for the Insane,4.0,1513,129,20,4,0.34236615994712494,24,12
HMAS Wallaroo,4.0,482,153,12,1,0.4605809128630705,12,5
Criticism of the Food and Drug Administration,4.0,3470,346,86,4,0.2829971181556196,76,17
Maria Callas,4.0,14203,845,52,19,0.19693022600858973,78,31
Tainan,4.0,6149,766,88,45,0.25158562367864695,51,55
"Prince George's County, Maryland",4.0,3980,925,79,34,0.27688442211055275,57,50
Fiduciary,4.0,3194,371,81,2,0.22197871008140263,84,19
Robert White (West Virginia senator),4.0,1488,249,40,7,0.2674731182795699,35,11
GayNZ.com,4.0,715,127,34,6,0.4223776223776224,31,9
Herbert Chapman,4.0,5566,665,60,8,0.2398490837226015,102,17
Algonquin Radio Observatory,4.0,1729,196,17,3,0.302486986697513,12,11
Centre for Intelligent Design,4.0,325,76,8,1,0.41846153846153844,4,5
Architecture of New York City,4.0,2756,404,65,35,0.28265602322206096,50,11
"Medal ""For Valiant Labour in the Great Patriotic War 1941–1945""",4.0,526,160,5,8,0.32509505703422054,4,7
California Division of Juvenile Justice,4.0,2033,202,28,3,0.31677324151500247,15,16
Casualties of the Bahraini uprising of 2011 and its aftermath,4.0,646,613,147,3,0.369969040247678,134,7
Han Sunhwa,4.0,1112,280,51,2,0.37859712230215825,38,18
Randy Couture,4.0,3213,524,91,6,0.2769996887643946,74,21
Notre Dame-Cathedral Latin School,4.0,750,107,13,1,0.364,7,10
La Huasteca,4.0,3957,260,13,6,0.26914329037149354,32,9
Edgar Davids,4.0,2182,657,79,6,0.32493125572868925,60,26
Semar Gugat,4.0,1303,107,9,2,0.3522640061396777,1,8
Serer people,4.0,2905,525,21,14,0.2891566265060241,58,22
Nuremberg U-Bahn,4.0,2536,344,15,18,0.24329652996845424,5,21
Shilpa Shetty,4.0,3140,664,106,5,0.3343949044585987,78,18
Cascajal Block,4.0,631,116,30,1,0.410459587955626,16,12
HM Prison Pentridge,4.0,748,232,38,6,0.40106951871657753,32,14
Question Period,4.0,1050,68,8,0,0.25142857142857145,3,10
Valvata piscinalis,4.0,849,226,16,3,0.4040047114252061,31,16
Baby's in Black,4.0,284,241,7,0,0.4225352112676056,12,9
Women's Junior European Volleyball Championship,4.0,33,220,4,1,0.5757575757575758,0,5
19th Mechanized Division (Greece),4.0,2696,234,4,5,0.2403560830860534,25,10
"Hempstead (village), New York",4.0,2775,438,19,10,0.3246846846846847,13,17
MTB 345,4.0,2064,206,11,0,0.2756782945736434,1,14
IMAM Ro.43,4.0,718,125,10,2,0.403899721448468,17,8
Aerotec Uirapuru,4.0,246,56,1,3,0.491869918699187,5,6
The Man Who Would Be Queen,4.0,1765,197,43,1,0.3388101983002833,37,9
Plasmodium,4.0,3395,673,122,9,0.23799705449189984,54,19
Johannes Ghiselin,4.0,523,54,9,0,0.37858508604206503,1,7
R. Kelly,4.0,8712,1206,182,9,0.2066115702479339,155,37
"Guttenberg, New Jersey",4.0,2250,550,96,5,0.33644444444444443,87,20
Eclipse (Meyer novel),4.0,2134,220,42,2,0.31443298969072164,36,13
"Embassy of the United States, Mogadishu",4.0,2190,287,34,4,0.3,2,12
Leprosy,4.0,3118,732,119,8,0.290891597177678,71,22
Deep-water coral,4.0,2551,291,28,8,0.3139945119560956,29,16
31st Arkansas Infantry Regiment,4.0,2984,151,30,4,0.1960455764075067,27,8
Pratt & Whitney J52,4.0,264,369,7,4,0.4393939393939394,12,13
Lotus Esprit,4.0,3163,388,40,18,0.30603857097692067,41,18
"Darwin, Northern Territory",4.0,6104,762,117,30,0.2762123197903014,93,34
Tom Fox (Quaker),4.0,390,51,23,2,0.3923076923076923,1,7
Peter Milliken,4.0,1856,313,43,2,0.3076508620689655,44,8
Dynamic pressure,4.0,403,75,1,1,0.33002481389578164,6,8
Radio propagation,4.0,2900,451,32,2,0.2637931034482759,12,24
Incremental validity,4.0,637,31,4,0,0.25274725274725274,4,5
Anthemius (praetorian prefect),4.0,724,77,2,1,0.3839779005524862,10,3
Infrasound,4.0,1589,311,59,3,0.35116425424795467,49,12
Yuki Kawauchi,4.0,1237,160,30,1,0.3185125303152789,26,8
Shropshire Canal,4.0,2539,223,30,32,0.25521858999606145,26,11
Glass frog,4.0,1006,184,19,7,0.3717693836978131,7,9
Amaranthaceae,4.0,1068,382,22,13,0.4101123595505618,15,14
Ontario Highway 538,4.0,362,247,5,2,0.36187845303867405,6,6
Jonathan Goldstein (composer),4.0,891,383,69,0,0.4624017957351291,56,14
Education in Malaysia,4.0,7277,506,69,5,0.19266181118592826,28,30
Anastasia Robinson,4.0,632,57,2,1,0.41139240506329117,2,7
Vancouver Aquarium,4.0,2841,465,69,9,0.30306230200633577,60,23
"Alfred, Duke of Saxe-Coburg and Gotha",4.0,3500,486,33,12,0.2874285714285714,30,27
French franc,4.0,3500,629,29,35,0.24742857142857144,31,24
Cannon Mountain Ski Area,4.0,1679,96,9,7,0.33948779035139964,5,7
Rich Mullins,4.0,1862,219,40,3,0.3174006444683136,29,9
Kolkata Knight Riders,4.0,4275,941,150,8,0.24912280701754386,2,37
Silicosis,4.0,2133,498,67,7,0.3244256915142991,33,14
14th Arkansas Infantry Regiment (McCarver's),4.0,2399,448,32,4,0.2330137557315548,27,7
Capilano Suspension Bridge,4.0,607,191,20,7,0.43492586490939045,8,8
"Ælfthryth, wife of Edgar",4.0,1003,91,3,1,0.34297108673978066,13,6
Mackenzie (electoral district),4.0,99,87,2,0,0.47474747474747475,0,5
Cln3,4.0,1538,163,125,1,0.2483745123537061,45,10
Braj Kumar Nehru,4.0,479,125,20,2,0.453027139874739,14,9
Ecdysis,4.0,1125,94,9,7,0.30133333333333334,6,8
North American Ice Storm of 1998,4.0,1709,250,29,5,0.3270918665886483,16,8
Weta,4.0,1511,109,17,10,0.32164129715420253,5,14
Zeta Psi,4.0,3417,478,8,2,0.2601697395376061,16,43
Street Fighting Man,4.0,1734,384,15,2,0.3264129181084198,16,8
DynCorp,4.0,3431,501,119,4,0.32148061789565724,120,26
James Williams (Delaware representative),4.0,319,148,11,2,0.4043887147335423,0,8
David Boon,4.0,2055,197,26,1,0.28418491484184916,17,17
Drawdown chart,4.0,241,93,5,1,0.3153526970954357,5,3
Gomaco Trolley Company,4.0,830,106,21,4,0.3530120481927711,13,6
Adelaide United FC,4.0,6135,695,65,10,0.20700896495517523,52,30
54th Indian Brigade,4.0,197,65,2,1,0.350253807106599,4,8
Anna Fegi,4.0,1932,286,73,5,0.3136645962732919,43,18
Pinsetter,4.0,3876,116,33,4,0.21052631578947367,4,12
Ayrshire cattle,4.0,464,41,11,1,0.36637931034482757,8,6
Robert Courtneidge,4.0,1871,195,11,5,0.3324425440940673,32,8
Template talk:Drum Corps International Defunct & Inactive corps,4.0,0,9,1,2,0,0,0
Tiananmen,4.0,1272,174,43,11,0.35062893081761004,9,12
1860 Oxford evolution debate,4.0,2548,198,16,5,0.29945054945054944,28,7
Playing card,4.0,4931,541,53,34,0.22591766375988642,47,22
New York State Route 88,4.0,798,118,13,3,0.2769423558897243,13,7
Grain elevator,4.0,2651,397,49,21,0.28555262165220674,34,12
Bicycle and motorcycle geometry,4.0,1492,125,38,4,0.2339142091152815,25,16
Medieval Bulgarian army,4.0,3755,583,22,35,0.27057256990679096,64,26
International recognition of Abkhazia and South Ossetia,4.0,5227,1403,349,11,0.2215419934953128,1,31
Arles,4.0,2897,521,36,15,0.33379357956506733,20,21
Maryland Route 365,4.0,207,57,10,3,0.34782608695652173,7,7
Oriel Gray,4.0,522,66,15,0,0.43486590038314177,8,7
University of Nottingham,4.0,3872,782,105,21,0.27298553719008267,85,26
Bristol SU,4.0,435,45,4,2,0.43448275862068964,5,5
Galicia–Volhynia Wars,4.0,1000,243,7,11,0.372,10,7
Prospective memory,4.0,3132,440,3,7,0.21519795657726692,70,32
2012 I-League 2nd Division Final Round,4.0,363,380,32,1,0.3278236914600551,2,26
Bargello (needlework),4.0,1005,161,11,7,0.25771144278606967,0,18
Charging station,4.0,3352,424,69,22,0.2595465393794749,70,30
USS Houston (CA-30),4.0,2115,219,21,5,0.31016548463356974,12,13
"St Mary of the Angels R C Church, Canton",4.0,345,50,14,0,0.43478260869565216,3,7
Eastern gray squirrel,4.0,2687,379,54,13,0.29214737625604764,40,17
Chou–Fasman method,4.0,583,51,13,0,0.2967409948542024,8,6
New York State Route 52,4.0,5621,576,70,15,0.17576943604340864,73,21
1820s in Western fashion,4.0,1470,349,5,38,0.3448979591836735,11,20
Atlas Shrugged: Part I,4.0,2708,355,74,1,0.3378877400295421,55,17
"Burbank, California",4.0,14258,1573,161,31,0.20739234114181512,147,38
Battle of Hanover,4.0,1774,224,8,2,0.33089064261555806,6,8
Taichung,4.0,4143,541,39,35,0.2809558291093411,1,44
George Foster (baseball),4.0,2404,719,72,3,0.2911813643926789,53,12
Luxembourgish franc,4.0,1024,268,8,4,0.2578125,3,8
"Bay Head, New Jersey",4.0,2148,550,98,3,0.3198324022346369,90,17
The Patriot (2000 film),4.0,3831,360,46,2,0.3054032889584965,43,20
"Fort Collins, Colorado",4.0,4154,958,68,17,0.28165623495426095,45,20
Eastern yellowjacket,4.0,2441,188,17,1,0.2601392871773863,20,23
Steve Spurrier,4.0,4377,1630,107,9,0.24308887365775644,79,20
Nevada State Route 525,4.0,309,50,8,3,0.3106796116504854,6,6
Medal 850th Anniversary of Moscow,4.0,300,126,6,5,0.36333333333333334,4,7
HMCS Edmundston (K106),4.0,643,447,9,1,0.37791601866251945,12,7
Fleche (1768),4.0,471,61,3,2,0.4012738853503185,10,5
Tenné,4.0,1105,219,12,12,0.2841628959276018,25,12
Pre-Columbian era,4.0,4733,1402,82,23,0.25945489118952036,44,27
HSwMS Gotland (1995),4.0,467,75,16,3,0.46466809421841543,15,6
Aratus,4.0,1002,216,24,5,0.3532934131736527,6,11
"Fall River, Massachusetts",4.0,6769,684,77,26,0.23046240212734526,57,34
Warrior (steamboat),4.0,960,189,11,2,0.35,11,7
Karia HM V,4.0,913,112,12,4,0.31653888280394304,13,9
Short Hills (NJT station),4.0,1055,67,16,5,0.3137440758293839,8,8
Aeronautical Medal,4.0,398,181,4,112,0.3869346733668342,1,9
Hurricane Marilyn,4.0,2301,360,45,9,0.2907431551499348,35,17
A Place in the Sun (film),4.0,1202,201,21,1,0.3527454242928453,15,9
Islamization,4.0,1184,317,20,1,0.40709459459459457,19,13
Siemens Velaro,4.0,1952,460,53,9,0.2843237704918033,39,12
Rufous fantail,4.0,1982,303,19,7,0.33249243188698285,30,23
List of Black Cat episodes,4.0,296,82,17,2,0.4560810810810811,14,5
"Franklin Township, Hunterdon County, New Jersey",4.0,1887,556,89,2,0.3179650238473768,79,15
Battle of Guinea,4.0,482,253,4,5,0.35477178423236516,7,7
Battle of Teruel,4.0,2267,311,4,2,0.3039258932509925,45,14
Dick Cavett,4.0,3226,482,72,9,0.3419094854308741,54,11
Carl Gustaf Emil Mannerheim,4.0,6543,1572,60,17,0.25049671404554485,64,28
Arumuka Navalar,4.0,3080,367,21,5,0.2876623376623377,36,15
Lexington Avenue – 53rd Street (IND Queens Boulevard Line),4.0,766,166,20,29,0.25326370757180156,3,8
Coast Mountain Bus Company,4.0,574,378,12,18,0.37630662020905925,6,17
List of Kent Twenty20 cricket records,4.0,97,220,19,0,0.422680412371134,17,27
Enough (film),4.0,2706,231,27,4,0.30783444198078347,22,12
